Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -230.582     -230.582        0.000     0.0
0.0050         -230.423     -230.580        0.157    11.2
0.0100         -230.257     -230.570        0.314    22.5
0.0150         -230.058     -230.545        0.486    34.8
0.0200         -229.881     -230.498        0.617    44.2
0.0250         -229.670     -230.430        0.760    54.5
0.0300         -229.511     -230.340        0.829    59.4
0.0350         -229.354     -230.238        0.884    63.3
0.0400         -229.166     -230.131        0.965    69.1
0.0450         -229.028     -230.028        1.000    71.6
0.0500         -228.805     -229.933        1.128    80.8
0.0550         -228.665     -229.844        1.179    84.4
0.0600         -228.483     -229.754        1.271    91.1
0.0650         -228.335     -229.663        1.328    95.2
0.0700         -228.181     -229.565        1.384    99.1
0.0750         -228.007     -229.470        1.463   104.8
0.0800         -227.835     -229.372        1.537   110.1
0.0850         -227.662     -229.282        1.620   116.1
0.0900         -227.511     -229.192        1.682   120.5
0.0950         -227.265     -229.120        1.855   132.9
0.1000         -226.999     -229.056        2.058   147.4
0.1050         -226.827     -228.981        2.154   154.3
0.1100         -226.597     -228.890        2.293   164.3
0.1150         -226.457     -228.785        2.328   166.8
0.1200         -226.353     -228.679        2.327   166.7
0.1250         -226.200     -228.583        2.382   170.6
0.1300         -226.029     -228.498        2.469   176.9
0.1350         -225.869     -228.431        2.563   183.6
0.1400         -225.769     -228.380        2.611   187.0
0.1450         -225.606     -228.317        2.711   194.2
0.1500         -225.383     -228.254        2.871   205.7
0.1550         -225.162     -228.189        3.027   216.9
0.1600         -225.037     -228.136        3.099   222.0
0.1650         -224.857     -228.106        3.249   232.7
0.1700         -224.802     -228.069        3.266   234.0
0.1750         -224.536     -228.024        3.488   249.9
0.1800         -224.293     -227.975        3.682   263.7
0.1850         -224.195     -227.906        3.711   265.8
0.1900         -223.883     -227.849        3.966   284.1
0.1950         -223.648     -227.783        4.134   296.2
0.2000         -223.437     -227.702        4.265   305.5
0.2050         -223.156     -227.613        4.457   319.3
0.2100         -222.880     -227.505        4.625   331.3
0.2150         -222.442     -227.376        4.934   353.4
0.2200         -222.216     -227.205        4.989   357.4
0.2250         -222.047     -227.019        4.971   356.1
0.2300         -221.603     -226.833        5.230   374.6
0.2350         -221.496     -226.657        5.161   369.7
0.2400         -221.288     -226.478        5.190   371.8
0.2450         -221.400     -226.312        4.912   351.8
0.2500         -221.111     -226.190        5.079   363.8
0.2550         -220.965     -226.094        5.128   367.3
0.2600         -220.736     -226.029        5.293   379.2
0.2650         -220.677     -225.967        5.290   379.0
0.2700         -220.487     -225.888        5.401   386.9
0.2750         -220.515     -225.771        5.256   376.5
0.2800         -220.381     -225.608        5.228   374.5
0.2850         -220.146     -225.408        5.263   377.0
0.2900         -219.880     -225.171        5.291   379.0
0.2950         -219.829     -224.903        5.073   363.4
0.3000         -219.594     -224.645        5.051   361.8
0.3050         -219.569     -224.456        4.888   350.1
0.3100         -219.500     -224.353        4.853   347.6
0.3150         -219.456     -224.351        4.895   350.6
0.3200         -219.316     -224.418        5.102   365.5
0.3250         -219.162     -224.550        5.387   385.9
0.3300         -218.832     -224.735        5.903   422.8
0.3350         -218.809     -224.929        6.121   438.4
0.3400         -218.553     -225.079        6.526   467.5
0.3450         -218.489     -225.157        6.668   477.7
0.3500         -218.280     -225.137        6.857   491.2
0.3550         -218.125     -225.015        6.889   493.5
0.3600         -217.830     -224.855        7.025   503.2
0.3650         -217.760     -224.705        6.945   497.5
0.3700         -217.513     -224.650        7.137   511.2
0.3750         -217.447     -224.700        7.253   519.6
0.3800         -217.258     -224.831        7.574   542.5
0.3850         -217.144     -224.970        7.826   560.6
0.3900         -216.931     -225.073        8.143   583.3
0.3950         -217.099     -225.067        7.968   570.8
0.4000         -216.938     -224.967        8.029   575.1
0.4050         -217.081     -224.786        7.705   552.0
0.4100         -216.831     -224.577        7.746   554.9
0.4150         -216.572     -224.393        7.821   560.3
0.4200         -216.390     -224.212        7.822   560.3
0.4250         -216.087     -224.052        7.965   570.6
0.4300         -215.788     -223.897        8.109   580.9
0.4350         -215.524     -223.717        8.193   586.9
0.4400         -215.364     -223.468        8.103   580.5
0.4450         -215.417     -223.196        7.780   557.3
0.4500         -215.245     -222.931        7.686   550.6
0.4550         -215.021     -222.729        7.708   552.2
0.4600         -214.924     -222.637        7.713   552.5
0.4650         -214.875     -222.698        7.823   560.4
0.4700         -214.763     -222.847        8.084   579.1
0.4750         -214.438     -223.027        8.590   615.3
0.4800         -214.449     -223.215        8.766   627.9
0.4850         -214.558     -223.341        8.783   629.2
0.4900         -214.379     -223.382        9.003   644.9
0.4950         -214.118     -223.363        9.245   662.2
0.5000         -214.141     -223.291        9.150   655.4
0.5050         -214.026     -223.186        9.160   656.2
0.5100         -214.010     -223.087        9.077   650.2
0.5150         -213.987     -223.043        9.055   648.7
0.5200         -213.987     -223.066        9.078   650.3
0.5250         -213.983     -223.111        9.128   653.9
0.5300         -213.860     -223.152        9.292   665.6
0.5350         -213.562     -223.173        9.611   688.5
0.5400         -213.523     -223.136        9.613   688.6
0.5450         -213.301     -223.048        9.747   698.2
0.5500         -213.377     -222.995        9.617   688.9
0.5550         -213.529     -223.010        9.482   679.2
0.5600         -213.546     -223.125        9.579   686.2
0.5650         -213.409     -223.313        9.904   709.5
0.5700         -213.487     -223.522       10.035   718.9
0.5750         -213.461     -223.668       10.208   731.2
0.5800         -213.291     -223.703       10.412   745.8
0.5850         -213.299     -223.569       10.271   735.7
0.5900         -213.144     -223.283       10.140   726.3
0.5950         -213.249     -222.897        9.648   691.1
0.6000         -213.139     -222.485        9.346   669.5
0.6050         -212.914     -222.121        9.207   659.5
0.6100         -212.624     -221.886        9.262   663.4
0.6150         -212.573     -221.802        9.229   661.1
0.6200         -212.309     -221.823        9.514   681.5
0.6250         -212.185     -221.952        9.767   699.7
0.6300         -212.213     -222.118        9.905   709.5
0.6350         -212.011     -222.252       10.242   733.6
0.6400         -211.769     -222.327       10.558   756.3
0.6450         -211.499     -222.359       10.860   777.9
0.6500         -211.267     -222.330       11.063   792.5
0.6550         -211.274     -222.223       10.949   784.3
0.6600         -211.060     -222.083       11.023   789.6
0.6650         -210.896     -221.936       11.040   790.8
0.6700         -210.678     -221.807       11.129   797.2
0.6750         -210.726     -221.742       11.016   789.1
0.6800         -210.951     -221.703       10.752   770.2
0.6850         -211.010     -221.703       10.693   766.0
0.6900         -210.813     -221.722       10.908   781.4
0.6950         -210.899     -221.745       10.846   777.0
0.7000         -210.797     -221.731       10.934   783.2
0.7050         -210.689     -221.701       11.012   788.8
0.7100         -210.671     -221.701       11.030   790.1
0.7150         -210.568     -221.725       11.156   799.2
0.7200         -210.786     -221.796       11.010   788.7
0.7250         -210.511     -221.837       11.325   811.3
0.7300         -210.080     -221.787       11.707   838.6
0.7350         -210.037     -221.623       11.586   829.9
0.7400         -209.836     -221.397       11.561   828.1
0.7450         -210.006     -221.117       11.111   795.9
0.7500         -209.945     -220.860       10.914   781.8
0.7550         -209.676     -220.687       11.011   788.7
0.7600         -209.798     -220.603       10.805   774.0
0.7650         -209.594     -220.622       11.028   790.0
0.7700         -209.336     -220.668       11.332   811.7
0.7750         -208.949     -220.754       11.805   845.6
0.7800         -208.839     -220.848       12.008   860.2
0.7850         -208.799     -220.895       12.096   866.5
0.7900         -208.665     -220.935       12.270   878.9
0.7950         -208.794     -220.956       12.162   871.2
0.8000         -208.815     -220.935       12.120   868.2
0.8050         -208.863     -220.875       12.011   860.4
0.8100         -208.733     -220.777       12.044   862.8
0.8150         -208.599     -220.618       12.019   860.9
0.8200         -208.526     -220.408       11.882   851.1
0.8250         -208.291     -220.169       11.878   850.8
0.8300         -208.147     -219.908       11.760   842.4
0.8350         -207.931     -219.640       11.709   838.8
0.8400         -207.716     -219.379       11.662   835.4
0.8450         -207.527     -219.135       11.607   831.5
0.8500         -207.165     -218.917       11.752   841.8
0.8550         -207.177     -218.730       11.554   827.6
0.8600         -206.747     -218.622       11.875   850.6
0.8650         -206.584     -218.601       12.017   860.8
0.8700         -206.148     -218.611       12.462   892.7
0.8750         -205.977     -218.597       12.619   904.0
0.8800         -205.881     -218.583       12.701   909.8
0.8850         -205.826     -218.524       12.698   909.6
0.8900         -205.868     -218.419       12.551   899.1
0.8950         -205.863     -218.302       12.439   891.0
0.9000         -205.645     -218.190       12.545   898.6
0.9050         -205.353     -218.092       12.739   912.5
0.9100         -205.207     -218.008       12.801   917.0
0.9150         -204.871     -217.984       13.113   939.3
0.9200         -204.698     -218.071       13.373   958.0
0.9250         -204.800     -218.223       13.423   961.5
0.9300         -204.463     -218.368       13.905   996.1
0.9350         -204.853     -218.445       13.592   973.6
0.9400         -205.030     -218.425       13.395   959.5
0.9450         -204.905     -218.313       13.408   960.4
0.9500         -204.607     -218.124       13.517   968.3
0.9550         -204.444     -217.857       13.413   960.8
0.9600         -204.319     -217.522       13.203   945.8
0.9650         -204.273     -217.146       12.872   922.1
0.9700         -204.017     -216.772       12.755   913.7
0.9750         -204.058     -216.526       12.468   893.1
0.9800         -204.280     -216.418       12.138   869.5
0.9850         -204.122     -216.521       12.399   888.2
0.9900         -203.909     -216.784       12.875   922.3
0.9950         -203.818     -217.068       13.249   949.1
1.0000         -203.516     -217.244       13.728   983.4
1.0050         -203.633     -217.263       13.631   976.4
1.0100         -203.581     -217.114       13.534   969.5
1.0150         -203.527     -216.862       13.335   955.2
1.0200         -203.427     -216.571       13.144   941.5
1.0250         -203.363     -216.344       12.981   929.9
1.0300         -203.158     -216.224       13.066   935.9
1.0350         -202.986     -216.185       13.199   945.5
1.0400         -202.951     -216.196       13.245   948.8
1.0450         -202.820     -216.185       13.365   957.4
1.0500         -202.546     -216.189       13.644   977.3
1.0550         -202.448     -216.227       13.779   987.0
1.0600         -202.331     -216.279       13.948   999.1
1.0650         -202.229     -216.361       14.132  1012.3
1.0700         -202.222     -216.463       14.241  1020.1
1.0750         -202.207     -216.579       14.372  1029.5
1.0800         -202.203     -216.699       14.496  1038.4
1.0850         -202.273     -216.802       14.529  1040.8
1.0900         -202.113     -216.895       14.782  1058.9
1.0950         -202.182     -217.002       14.820  1061.6
1.1000         -202.182     -217.072       14.889  1066.6
1.1050         -202.414     -217.069       14.655  1049.8
1.1100         -202.498     -217.012       14.514  1039.6
1.1150         -202.373     -216.960       14.587  1044.9
1.1200         -202.306     -216.893       14.587  1044.9
1.1250         -202.225     -216.823       14.598  1045.7
1.1300         -202.212     -216.740       14.528  1040.6
1.1350         -202.147     -216.613       14.466  1036.2
1.1400         -202.133     -216.480       14.347  1027.7
1.1450         -202.334     -216.331       13.997  1002.7
1.1500         -202.490     -216.200       13.710   982.1
1.1550         -202.517     -216.044       13.527   968.9
1.1600         -202.522     -215.856       13.333   955.1
1.1650         -202.413     -215.615       13.203   945.7
1.1700         -202.324     -215.392       13.068   936.1
1.1750         -202.138     -215.282       13.144   941.6
1.1800         -201.989     -215.242       13.253   949.3
1.1850         -201.819     -215.273       13.454   963.8
1.1900         -201.568     -215.316       13.748   984.8
1.1950         -201.488     -215.325       13.837   991.2
1.2000         -201.267     -215.267       14.000  1002.8
1.2050         -201.261     -215.108       13.847   991.9
1.2100         -201.575     -214.862       13.287   951.8
1.2150         -201.515     -214.635       13.120   939.8
1.2200         -201.327     -214.493       13.166   943.1
1.2250         -201.303     -214.452       13.149   941.9
1.2300         -200.890     -214.511       13.621   975.7
1.2350         -200.825     -214.701       13.877   994.0
1.2400         -201.026     -214.998       13.971  1000.8
1.2450         -200.940     -215.383       14.443  1034.6
1.2500         -200.919     -215.801       14.883  1066.1
1.2550         -200.681     -216.202       15.521  1111.8
1.2600         -200.375     -216.514       16.139  1156.1
1.2650         -200.532     -216.641       16.109  1153.9
1.2700         -200.324     -216.610       16.285  1166.6
1.2750         -200.057     -216.426       16.369  1172.6
1.2800         -199.868     -216.135       16.267  1165.3
1.2850         -199.819     -215.808       15.989  1145.3
1.2900         -199.746     -215.568       15.822  1133.4
1.2950         -199.598     -215.437       15.839  1134.6
1.3000         -199.490     -215.422       15.932  1141.2
1.3050         -199.539     -215.468       15.928  1141.0
1.3100         -199.157     -215.512       16.356  1171.6
1.3150         -198.995     -215.585       16.589  1188.3
1.3200         -199.158     -215.623       16.465  1179.4
1.3250         -199.023     -215.561       16.539  1184.7
1.3300         -198.766     -215.389       16.623  1190.7
1.3350         -198.702     -215.084       16.382  1173.5
1.3400         -198.476     -214.615       16.140  1156.1
1.3450         -198.683     -214.023       15.340  1098.8
1.3500         -198.656     -213.488       14.832  1062.5
1.3550         -198.449     -213.201       14.751  1056.7
1.3600         -198.375     -213.222       14.848  1063.6
1.3650         -198.155     -213.537       15.382  1101.9
1.3700         -197.852     -214.073       16.221  1162.0
1.3750         -197.799     -214.679       16.880  1209.1
1.3800         -197.953     -215.188       17.235  1234.6
1.3850         -198.027     -215.486       17.459  1250.6
1.3900         -198.170     -215.467       17.297  1239.0
1.3950         -198.346     -215.127       16.781  1202.1
1.4000         -198.435     -214.634       16.198  1160.3
1.4050         -198.407     -214.143       15.735  1127.2
1.4100         -198.209     -213.702       15.493  1109.8
1.4150         -198.603     -213.375       14.772  1058.1
1.4200         -198.396     -213.155       14.759  1057.2
1.4250         -198.067     -212.953       14.887  1066.4
1.4300         -198.041     -212.732       14.691  1052.4
1.4350         -198.068     -212.586       14.518  1040.0
1.4400         -197.932     -212.519       14.587  1044.9
1.4450         -197.932     -212.531       14.599  1045.8
1.4500         -197.652     -212.667       15.015  1075.6
1.4550         -197.476     -212.925       15.449  1106.6
1.4600         -197.171     -213.278       16.107  1153.8
1.4650         -197.260     -213.668       16.408  1175.4
1.4700         -197.179     -214.031       16.852  1207.2
1.4750         -196.712     -214.294       17.582  1259.4
1.4800         -196.476     -214.461       17.985  1288.3
1.4850         -196.462     -214.513       18.051  1293.0
1.4900         -196.290     -214.479       18.189  1302.9
1.4950         -196.194     -214.503       18.310  1311.6
1.5000         -196.083     -214.647       18.563  1329.7
1.5050         -195.792     -214.924       19.132  1370.5
1.5100         -195.669     -215.258       19.590  1403.3
1.5150         -195.485     -215.538       20.053  1436.5
1.5200         -195.889     -215.638       19.749  1414.7
1.5250         -196.394     -215.476       19.082  1366.9
1.5300         -196.642     -215.098       18.456  1322.1
1.5350         -196.772     -214.609       17.837  1277.7
1.5400         -196.824     -214.143       17.319  1240.6
1.5450         -196.883     -213.788       16.905  1211.0
1.5500         -196.738     -213.614       16.876  1208.9
1.5550         -196.660     -213.585       16.925  1212.4
1.5600         -196.581     -213.616       17.034  1220.2
1.5650         -196.279     -213.603       17.324  1240.9
1.5700         -196.203     -213.502       17.299  1239.2
1.5750         -196.172     -213.294       17.121  1226.5
1.5800         -196.358     -213.025       16.667  1193.9
1.5850         -196.497     -212.704       16.207  1160.9
1.5900         -196.313     -212.460       16.147  1156.6
1.5950         -196.121     -212.377       16.257  1164.5
1.6000         -196.109     -212.462       16.353  1171.4
1.6050         -195.856     -212.558       16.702  1196.4
1.6100         -195.594     -212.566       16.973  1215.8
1.6150         -195.537     -212.422       16.885  1209.5
1.6200         -195.331     -212.202       16.871  1208.5
1.6250         -195.075     -212.000       16.925  1212.4
1.6300         -195.104     -211.838       16.734  1198.7
1.6350         -194.929     -211.772       16.843  1206.5
1.6400         -194.641     -211.768       17.127  1226.8
1.6450         -194.427     -211.740       17.313  1240.2
1.6500         -194.363     -211.774       17.411  1247.2
1.6550         -194.588     -211.818       17.230  1234.2
1.6600         -194.302     -211.945       17.642  1263.8
1.6650         -194.092     -212.195       18.103  1296.8
1.6700         -194.052     -212.559       18.507  1325.7
1.6750         -193.892     -212.893       19.001  1361.1
1.6800         -193.490     -213.114       19.624  1405.7
1.6850         -193.555     -213.199       19.644  1407.2
1.6900         -193.340     -213.124       19.784  1417.2
1.6950         -193.536     -212.938       19.402  1389.8
1.7000         -193.517     -212.650       19.133  1370.5
1.7050         -193.471     -212.339       18.868  1351.6
1.7100         -193.514     -212.038       18.524  1326.9
1.7150         -193.283     -211.825       18.541  1328.2
1.7200         -192.901     -211.723       18.822  1348.2
1.7250         -192.979     -211.738       18.759  1343.8
1.7300         -193.053     -211.824       18.771  1344.6
1.7350         -193.077     -211.912       18.835  1349.2
1.7400         -192.789     -212.004       19.215  1376.4
1.7450         -192.923     -212.068       19.145  1371.4
1.7500         -192.865     -212.070       19.205  1375.7
1.7550         -193.086     -212.094       19.008  1361.6
1.7600         -193.091     -212.209       19.118  1369.5
1.7650         -192.754     -212.322       19.568  1401.7
1.7700         -192.689     -212.272       19.583  1402.8
1.7750         -192.509     -212.092       19.583  1402.8
1.7800         -192.447     -211.800       19.353  1386.3
1.7850         -192.396     -211.503       19.107  1368.7
1.7900         -192.427     -211.256       18.830  1348.8
1.7950         -192.288     -211.096       18.807  1347.2
1.8000         -192.139     -210.982       18.843  1349.8
1.8050         -191.816     -210.938       19.122  1369.8
1.8100         -191.814     -210.938       19.124  1369.9
1.8150         -191.796     -211.024       19.228  1377.3
1.8200         -191.419     -211.235       19.816  1419.5
1.8250         -191.397     -211.526       20.128  1441.8
1.8300         -191.225     -211.762       20.537  1471.1
1.8350         -190.982     -211.869       20.887  1496.2
1.8400         -190.899     -211.828       20.929  1499.2
1.8450         -190.752     -211.622       20.870  1495.0
1.8500         -190.773     -211.240       20.467  1466.1
1.8550         -190.671     -210.687       20.017  1433.9
1.8600         -190.664     -209.987       19.323  1384.2
1.8650         -190.910     -209.187       18.277  1309.3
1.8700         -191.095     -208.405       17.311  1240.0
1.8750         -191.049     -207.784       16.735  1198.8
1.8800         -191.131     -207.414       16.283  1166.4
1.8850         -191.194     -207.326       16.133  1155.6
1.8900         -191.213     -207.488       16.275  1165.8
1.8950         -190.986     -207.785       16.798  1203.3
1.9000         -191.113     -208.100       16.986  1216.8
1.9050         -190.944     -208.362       17.418  1247.7
1.9100         -190.570     -208.497       17.927  1284.2
1.9150         -190.774     -208.554       17.780  1273.6
1.9200         -190.686     -208.530       17.844  1278.2
1.9250         -190.402     -208.446       18.044  1292.6
1.9300         -190.350     -208.372       18.023  1291.0
1.9350         -190.301     -208.328       18.027  1291.3
1.9400         -190.298     -208.384       18.085  1295.5
1.9450         -190.001     -208.545       18.543  1328.3
1.9500         -189.877     -208.795       18.918  1355.2
1.9550         -190.058     -209.041       18.983  1359.8
1.9600         -189.964     -209.182       19.219  1376.7
1.9650         -189.906     -209.204       19.299  1382.4
1.9700         -189.849     -209.075       19.225  1377.2
1.9750         -189.918     -208.756       18.838  1349.4
1.9800         -189.666     -208.390       18.724  1341.2
1.9850         -189.157     -208.145       18.988  1360.2
1.9900         -189.112     -208.111       18.999  1360.9
1.9950         -188.920     -208.351       19.430  1391.8
2.0000         -188.834     -208.711       19.876  1423.8
2.0050         -188.562     -208.984       20.422  1462.9
2.0100         -188.533     -208.994       20.461  1465.7
2.0150         -188.425     -208.623       20.198  1446.8
2.0200         -188.680     -207.972       19.292  1382.0
2.0250         -188.650     -207.259       18.610  1333.1
2.0300         -187.995     -206.758       18.763  1344.1
2.0350         -188.167     -206.565       18.397  1317.8
2.0400         -188.604     -206.812       18.208  1304.3
2.0450         -188.452     -207.419       18.966  1358.6
2.0500         -188.132     -208.101       19.969  1430.5
2.0550         -188.023     -208.628       20.605  1476.0
2.0600         -188.245     -208.938       20.693  1482.3
2.0650         -188.100     -209.056       20.956  1501.2
2.0700         -188.318     -209.021       20.703  1483.0
2.0750         -187.868     -208.980       21.112  1512.3
2.0800         -188.126     -209.014       20.888  1496.3
2.0850         -187.914     -209.211       21.298  1525.6
2.0900         -187.853     -209.540       21.687  1553.5
2.0950         -188.121     -209.904       21.783  1560.4
2.1000         -187.926     -210.202       22.276  1595.7
2.1050         -187.970     -210.392       22.421  1606.1
2.1100         -187.607     -210.475       22.867  1638.0
2.1150         -187.589     -210.526       22.937  1643.0
2.1200         -187.397     -210.612       23.215  1663.0
2.1250         -187.263     -210.749       23.486  1682.4
2.1300         -187.367     -210.837       23.470  1681.2
2.1350         -187.060     -210.742       23.682  1696.4
2.1400         -186.766     -210.401       23.635  1693.0
2.1450         -186.385     -209.883       23.498  1683.2
2.1500         -186.474     -209.366       22.892  1639.8
2.1550         -186.210     -208.962       22.752  1629.8
2.1600         -185.666     -208.647       22.981  1646.2
2.1650         -185.357     -208.334       22.977  1645.9
2.1700         -185.090     -207.880       22.791  1632.5
2.1750         -185.277     -207.270       21.992  1575.4
2.1800         -184.965     -206.662       21.698  1554.3
2.1850         -184.972     -206.240       21.268  1523.5
2.1900         -184.887     -206.010       21.123  1513.1
2.1950         -184.763     -205.962       21.200  1518.6
2.2000         -184.354     -205.976       21.622  1548.9
2.2050         -184.458     -205.953       21.494  1539.7
2.2100         -184.887     -205.831       20.944  1500.3
2.2150         -184.646     -205.736       21.090  1510.7
2.2200         -184.306     -205.783       21.477  1538.5
2.2250         -184.173     -206.022       21.849  1565.1
2.2300         -184.147     -206.445       22.298  1597.3
2.2350         -183.802     -206.913       23.111  1655.5
2.2400         -184.138     -207.274       23.136  1657.3
2.2450         -183.779     -207.489       23.710  1698.4
2.2500         -183.884     -207.500       23.616  1691.7
2.2550         -183.954     -207.365       23.412  1677.0
2.2600         -183.956     -207.149       23.193  1661.4
2.2650         -183.459     -206.877       23.417  1677.5
2.2700         -183.491     -206.625       23.134  1657.1
2.2750         -182.954     -206.417       23.463  1680.7
2.2800         -182.859     -206.189       23.330  1671.2
2.2850         -182.831     -206.018       23.187  1661.0
2.2900         -183.166     -205.998       22.831  1635.5
2.2950         -182.932     -206.177       23.246  1665.2
2.3000         -182.576     -206.595       24.020  1720.6
2.3050         -182.391     -207.207       24.817  1777.7
2.3100         -182.692     -207.799       25.107  1798.5
2.3150         -182.683     -208.153       25.470  1824.5
2.3200         -182.622     -208.207       25.585  1832.8
2.3250         -182.750     -207.939       25.190  1804.4
2.3300         -182.657     -207.343       24.686  1768.4
2.3350         -182.624     -206.580       23.956  1716.0
2.3400         -182.318     -205.791       23.473  1681.5
2.3450         -182.246     -205.099       22.853  1637.0
2.3500         -181.942     -204.641       22.699  1626.0
2.3550         -181.620     -204.439       22.820  1634.6
2.3600         -181.824     -204.499       22.675  1624.3
2.3650         -181.998     -204.764       22.767  1630.8
2.3700         -181.667     -205.109       23.441  1679.2
2.3750         -181.180     -205.463       24.283  1739.4
2.3800         -181.333     -205.736       24.403  1748.0
2.3850         -181.299     -205.896       24.597  1762.0
2.3900         -181.253     -205.983       24.730  1771.5
2.3950         -181.500     -205.948       24.448  1751.3
2.4000         -181.359     -205.804       24.445  1751.1
2.4050         -181.324     -205.490       24.165  1731.0
2.4100         -181.635     -205.025       23.390  1675.5
2.4150         -181.442     -204.461       23.019  1648.9
2.4200         -181.443     -203.873       22.431  1606.8
2.4250         -181.128     -203.317       22.189  1589.5
2.4300         -180.996     -202.811       21.815  1562.7
2.4350         -180.765     -202.444       21.679  1552.9
2.4400         -180.929     -202.330       21.401  1533.0
2.4450         -180.778     -202.487       21.709  1555.1
2.4500         -180.723     -202.849       22.126  1585.0
2.4550         -180.767     -203.326       22.559  1616.0
2.4600         -180.735     -203.918       23.183  1660.6
2.4650         -180.575     -204.553       23.978  1717.6
2.4700         -180.188     -205.165       24.976  1789.1
2.4750         -179.583     -205.679       26.096  1869.3
2.4800         -179.667     -206.021       26.354  1887.8
2.4850         -179.337     -206.112       26.775  1918.0
2.4900         -179.063     -205.895       26.832  1922.1
2.4950         -178.889     -205.378       26.490  1897.5
2.5000         -179.215     -204.793       25.579  1832.3
2.5050         -179.122     -204.328       25.207  1805.6
2.5100         -179.366     -204.159       24.793  1776.0
2.5150         -179.453     -204.378       24.925  1785.5
2.5200         -179.280     -204.901       25.621  1835.3
2.5250         -179.352     -205.447       26.095  1869.2
2.5300         -179.451     -205.769       26.318  1885.2
2.5350         -179.100     -205.620       26.520  1899.7
2.5400         -178.998     -204.914       25.916  1856.4
2.5450         -179.008     -203.938       24.930  1785.8
2.5500         -178.927     -202.925       23.998  1719.1
2.5550         -178.886     -202.283       23.397  1676.0
2.5600         -178.747     -202.147       23.400  1676.2
2.5650         -178.978     -202.417       23.438  1678.9
2.5700         -178.729     -202.917       24.188  1732.7
2.5750         -178.739     -203.444       24.704  1769.6
2.5800         -179.063     -203.767       24.703  1769.6
2.5850         -178.973     -203.827       24.854  1780.4
2.5900         -178.685     -203.670       24.985  1789.8
2.5950         -178.850     -203.420       24.570  1760.0
2.6000         -179.155     -203.278       24.123  1728.0
2.6050         -179.445     -203.338       23.893  1711.5
2.6100         -179.367     -203.574       24.206  1734.0
2.6150         -179.253     -203.796       24.543  1758.1
2.6200         -179.120     -203.781       24.661  1766.5
2.6250         -179.251     -203.451       24.200  1733.5
2.6300         -179.177     -202.875       23.699  1697.6
2.6350         -178.883     -202.221       23.338  1671.7
2.6400         -178.282     -201.748       23.467  1681.0
2.6450         -178.282     -201.637       23.355  1673.0
2.6500         -178.012     -201.771       23.759  1702.0
2.6550         -178.008     -201.930       23.922  1713.6
2.6600         -178.022     -201.995       23.973  1717.3
2.6650         -177.706     -201.997       24.291  1740.0
2.6700         -177.416     -201.970       24.554  1758.9
2.6750         -177.631     -201.901       24.271  1738.6
2.6800         -177.757     -201.844       24.088  1725.5
2.6850         -178.011     -201.767       23.756  1701.7
2.6900         -178.270     -201.693       23.423  1677.8
2.6950         -178.236     -201.748       23.512  1684.2
2.7000         -178.408     -201.994       23.586  1689.5
2.7050         -178.298     -202.337       24.039  1722.0
2.7100         -178.041     -202.623       24.581  1760.8
2.7150         -178.176     -202.652       24.475  1753.2
2.7200         -178.564     -202.294       23.730  1699.8
2.7250         -178.610     -201.548       22.938  1643.1
2.7300         -178.375     -200.572       22.197  1590.0
2.7350         -178.395     -199.627       21.232  1520.9
2.7400         -178.357     -199.010       20.653  1479.4
2.7450         -178.122     -198.947       20.825  1491.7
2.7500         -178.124     -199.414       21.291  1525.1
2.7550         -178.245     -200.088       21.843  1564.7
2.7600         -178.557     -200.680       22.123  1584.7
2.7650         -178.814     -200.972       22.159  1587.3
2.7700         -179.118     -200.944       21.826  1563.5
2.7750         -179.205     -200.694       21.489  1539.3
2.7800         -179.506     -200.415       20.910  1497.8
2.7850         -179.330     -200.202       20.872  1495.1
2.7900         -179.322     -200.128       20.806  1490.4
2.7950         -179.025     -200.168       21.143  1514.6
2.8000         -178.915     -200.222       21.308  1526.3
2.8050         -178.768     -200.216       21.448  1536.4
2.8100         -178.367     -200.077       21.710  1555.1
2.8150         -178.323     -199.804       21.481  1538.7
2.8200         -178.121     -199.380       21.259  1522.8
2.8250         -178.302     -198.896       20.593  1475.1
2.8300         -178.217     -198.498       20.282  1452.8
2.8350         -178.511     -198.274       19.762  1415.6
2.8400         -178.403     -198.290       19.887  1424.5
2.8450         -178.369     -198.548       20.179  1445.5
2.8500         -178.460     -199.004       20.545  1471.7
2.8550         -177.893     -199.564       21.671  1552.4
2.8600         -177.598     -200.108       22.510  1612.4
2.8650         -177.789     -200.623       22.834  1635.7
2.8700         -177.833     -201.168       23.335  1671.6
2.8750         -177.723     -201.812       24.089  1725.6
2.8800         -177.736     -202.551       24.815  1777.6
2.8850         -177.590     -203.269       25.679  1839.4
2.8900         -177.719     -203.819       26.100  1869.6
2.8950         -177.518     -204.042       26.525  1900.0
2.9000         -177.976     -203.852       25.876  1853.6
2.9050         -177.819     -203.302       25.483  1825.4
2.9100         -177.706     -202.571       24.865  1781.2
2.9150         -177.653     -201.938       24.284  1739.6
2.9200         -177.892     -201.688       23.795  1704.5
2.9250         -177.822     -201.975       24.153  1730.2
2.9300         -177.831     -202.613       24.782  1775.2
2.9350         -177.919     -203.324       25.405  1819.9
2.9400         -177.372     -203.838       26.466  1895.8
2.9450         -177.080     -203.973       26.892  1926.4
2.9500         -177.169     -203.764       26.594  1905.0
